iter	Passed	Remaining
466	739	843
467	740	841
468	741	839
469	742	837
470	743	835
471	745	833
472	746	831
473	747	829
474	748	827
475	750	825
476	751	823
477	752	821
478	753	820
479	755	818
480	756	816
481	757	814
482	758	812
483	760	810
484	761	808
485	762	806
486	763	804
487	764	802
488	766	800
489	767	798
490	768	796
491	770	795
492	771	793
493	772	791
494	773	789
495	774	787
496	776	785
497	777	783
498	778	781
499	779	779
500	781	777
501	782	775
502	783	774
503	784	772
504	785	770
505	787	768
506	788	766
507	789	764
508	790	762
509	791	760
510	793	758
511	794	757
512	795	755
513	796	753
514	798	751
515	799	749
516	800	747
517	801	745
518	802	744
519	804	742
520	805	740
521	806	738
522	807	736
523	808	734
524	810	732
525	811	731
526	812	729
527	813	727
528	814	725
529	816	723
530	817	721
531	818	719
532	819	718
533	820	716
534	821	714
535	823	712
536	824	710
537	825	709
538	826	707
539	828	705
540	829	703
541	830	701
542	831	699
543	832	698
544	833	696
545	835	694
546	836	692
547	837	690
548	838	689
549	840	687
550	841	685
551	842	683
552	843	681
553	844	680
554	846	678
555	847	676
556	848	674
557	849	672
558	850	671
559	851	669
560	853	667
561	854	665
562	855	664
563	856	662
564	857	660
565	859	658
566	860	656
567	861	655
568	862	653
569	863	651
570	864	649
571	866	648
572	867	646
573	868	644
574	869	642
575	871	641
576	872	639
577	873	637
578	874	636
579	875	634
580	877	632
581	878	630
582	879	629
583	881	627
584	882	625
585	883	624
586	884	622
587	886	620
588	887	619
589	888	617
590	889	615
591	890	613
592	891	612
593	893	610
594	894	608
595	895	607
596	896	605
597	897	603
598	899	602
599	900	600
600	901	598
601	902	596
602	904	595
603	905	593
604	906	591
605	907	590
606	908	588
607	909	586
608	911	584
609	912	583
610	913	581
611	914	579
612	915	578
613	917	576
614	918	574
615	919	573
616	920	571
617	921	569
618	923	568
619	924	566
620	925	564
621	926	563
622	927	561
623	928	559
624	930	558
625	931	556
626	932	554
627	933	553
628	934	551
629	936	549
630	937	548
631	938	546
632	939	544
633	940	543
634	941	541
635	942	539
636	944	538
637	945	536
638	946	534
639	947	533
640	948	531
641	950	529
642	951	528
643	952	526
644	953	524
645	954	523
646	955	521
647	957	519
648	958	518
649	959	516
650	960	515
651	961	513
652	963	511
653	964	510
654	965	508
655	966	507
656	968	505
657	969	503
658	970	502
659	971	500
660	972	498
661	974	497
662	975	495
663	976	494
664	978	492
665	979	491
666	980	489
667	981	488
668	983	486
669	984	484
670	985	483
671	986	481
672	987	480
673	989	478
674	990	476
675	991	475
676	992	473
677	994	472
678	995	470
679	996	468
680	997	467
681	998	465
682	1000	464
683	1001	462
684	1002	461
685	1003	459
686	1005	457
687	1006	456
688	1007	454
689	1008	453
690	1009	451
691	1011	449
692	1012	448
693	1013	446
694	1014	445
695	1015	443
696	1017	442
697	1018	440
698	1019	439
699	1021	437
700	1022	436
701	1024	434
702	1025	433
703	1026	431
704	1027	429
705	1028	428
706	1029	426
707	1031	425
708	1032	423
709	1033	422
710	1035	420
711	1036	419
712	1037	417
713	1038	416
714	1039	414
715	1040	412
716	1042	411
717	1043	409
718	1044	408
719	1045	406
720	1046	405
721	1047	403
722	1049	401
723	1050	400
724	1051	398
725	1053	397
726	1054	395
727	1055	394
728	1056	392
729	1057	391
730	1059	389
731	1060	388
732	1061	386
733	1062	385
734	1063	383
735	1064	381
736	1066	380
737	1067	379
738	1068	377
739	1070	375
740	1071	374
741	1072	372
742	1073	371
743	1074	369
744	1075	368
745	1077	366
746	1078	365
747	1079	363
748	1081	362
749	1082	360
750	1083	359
751	1084	357
752	1085	356
753	1086	354
754	1088	353
755	1089	351
756	1090	350
757	1091	348
758	1092	347
759	1094	345
760	1095	344
761	1096	342
762	1097	341
763	1099	339
764	1100	338
765	1101	336
766	1103	335
767	1104	333
768	1105	332
769	1106	330
770	1107	329
771	1109	327
772	1110	326
773	1111	324
774	1113	323
775	1114	321
776	1115	320
777	1116	318
778	1117	317
779	1118	315
780	1120	314
781	1121	312
782	1122	311
783	1123	309
784	1124	308
785	1126	306
786	1127	305
787	1128	303
788	1130	302
789	1131	300
790	1132	299
791	1133	297
792	1134	296
793	1136	294
794	1137	293
795	1138	291
796	1139	290
797	1141	288
798	1142	287
799	1143	285
800	1144	284
801	1146	282
802	1147	281
803	1148	279
804	1149	278
805	1150	276
806	1152	275
807	1153	274
808	1154	272
809	1155	271
810	1157	269
811	1158	268
812	1159	266
